ModelYear,AutoPropIcev,AutoPropHev,AutoPropPhev,AutoPropBev,LtTrkPropIcev,LtTrkPropHev,LtTrkPropPhev,LtTrkPropBev
1975,1,0,0,0,1,0,0,0
1976,1,0,0,0,1,0,0,0
1977,1,0,0,0,1,0,0,0
1978,1,0,0,0,1,0,0,0
1979,1,0,0,0,1,0,0,0
1980,1,0,0,0,1,0,0,0
1981,1,0,0,0,1,0,0,0
1982,1,0,0,0,1,0,0,0
1983,1,0,0,0,1,0,0,0
1984,1,0,0,0,1,0,0,0
1985,1,0,0,0,1,0,0,0
1986,1,0,0,0,1,0,0,0
1987,1,0,0,0,1,0,0,0
1988,1,0,0,0,1,0,0,0
1989,1,0,0,0,1,0,0,0
1990,1,0,0,0,1,0,0,0
1991,1,0,0,0,1,0,0,0
1992,1,0,0,0,1,0,0,0
1993,1,0,0,0,1,0,0,0
1994,1,0,0,0,1,0,0,0
1995,1,0,0,0,1,0,0,0
1996,1,0,0,0,1,0,0,0
1997,1,0,0,0,1,0,0,0
1998,1,0,0,0,1,0,0,0
1999,1,0,0,0,1,0,0,0
2000,1,0,0,0,1,0,0,0
2001,0.991612788,0.008387212,0,0,1,0,0,0
2002,0.989735317,0.010264683,0,0,1,0,0,0
2003,0.986706637,0.013293363,0,0,1,0,0,0
2004,0.974863388,0.025136612,0,0,1,0,0,0
2005,0.95037894,0.04962106,0,0,1,0,0,0
2006,0.96351328,0.03648672,0,0,0.978828875,0.021171125,0,0
2007,0.914696814,0.085303186,0,0,0.983826975,0.016173025,0,0
2008,0.925144684,0.074756748,0,0,0.975259304,0.024740696,0,0
2009,0.94307072,0.05692928,0,0,0.979199505,0.020800495,0,0
2010,0.878613293,0.121270484,0,0.000116223,0.982021904,0.017978096,0,0
2011,0.922389619,0.068849604,0.000574763,0.008186014,0.992599086,0.007400914,0,0
2012,0.888763128,0.09637809,0.008080861,0.006777921,0.993146925,0.006803174,0,0
2013,0.884993772,0.086188697,0.011907024,0.016910507,0.979457386,0.020528715,0,0
2014,0.897347887,0.080078259,0.010789227,0.011784627,0.994422342,0.005538654,0,0
2015,0.904672053,0.068891454,0.006513775,0.019922718,0.992464213,0.007435606,0.00010018,0
2016,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2017,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2018,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2019,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2020,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2021,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2022,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2023,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2024,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2025,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2026,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2027,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2028,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2029,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2030,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2031,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2032,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2033,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2034,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2035,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2036,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2037,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
2038,0.922609852,0.047856861,0.01065881,0.018874478,0.980601526,0.014881814,0.002026706,0.002489953
