SERIALNO,PUMA5,HWEIGHT,UNITTYPE,PERSONS,BLDGSZ,HINC
1994087,700,5,0,2,2,68000
1994142,500,13,0,0,8,0
1994235,1300,23,0,2,2,54000
1994397,601,11,0,2,1,106500
1994593,1005,10,0,0,2,0
1994722,700,5,0,4,2,49500
1994758,1500,18,0,2,4,176500
1994898,2003,23,0,2,9,94000
1995000,1500,23,0,1,2,12830
1995050,1701,20,0,4,2,59700
1995076,1702,17,0,2,3,24000
1995107,1201,0,1,1,  ,0
1995192,1804,0,2,1,  ,0
1995200,700,17,0,0,5,0
1995268,1600,9,0,5,1,50000
1995270,1802,18,0,2,2,52200
1995290,200,15,0,2,2,107000
1995405,1500,6,0,4,2,89240
1995456,1600,14,0,3,2,49200
1995668,1702,23,0,2,2,122600
1995715,1002,14,0,3,2,150000
1995943,901,0,2,1,  ,0
1995961,500,23,0,1,2,9500
1996007,1404,8,0,1,7,25700
1996210,1702,26,0,2,3,47000
1996331,2005,6,0,11,2,105000
1996384,200,20,0,1,2,19700
1996403,902,20,0,4,2,35660
1996488,1402,11,0,4,2,55500
1996505,1600,12,0,2,1,29100
1996522,1202,32,0,5,2,62800
1996552,602,26,0,4,2,104660
1996586,602,0,2,1,  ,0
1996604,400,7,0,0,2,0
1996667,2001,20,0,2,2,73300
1996732,2001,23,0,2,2,82100
1996815,1702,0,2,1,  ,0
1996841,1402,0,2,1,  ,0
1996853,500,20,0,4,2,24000
1996928,200,20,0,1,2,5640
1997086,800,0,1,1,  ,0
1997088,2200,17,0,1,4,30000
1997125,601,12,0,3,2,25000
1997126,1001,26,0,1,7,35160
1997136,400,12,0,3,1,56300
1997174,902,38,0,5,2,127000
1997310,1401,5,0,4,2,66600
1997601,1100,26,0,2,1,42400
1997732,1001,23,0,3,7,18000
1997934,901,18,0,2,2,6300
1997942,200,23,0,3,2,55600
1997957,2101,17,0,2,7,25100
1997975,901,18,0,5,1,13600
1997983,100,20,0,2,2,24300
1998050,400,17,0,5,1,46100
1998082,1402,26,0,2,2,45500
1998219,1500,0,1,1,  ,0
1998230,300,18,0,4,1,45080
1998321,1202,23,0,2,2,56780
1998342,2009,20,0,3,2,104300
1998404,1005,32,0,4,7,14900
1998437,1702,26,0,2,2,111700
1998467,2005,18,0,2,2,19500
1998479,400,6,0,3,2,31000
1998494,300,17,0,3,2,63500
1998558,1801,0,2,1,  ,0
1998630,1300,6,0,2,2,81470
1998728,1600,0,1,1,  ,0
1998803,1002,37,0,4,6,89200
1998829,400,6,0,1,2,0
1999050,1004,3,0,2,2,11600
1999082,901,12,0,3,2,83400
1999103,500,20,0,2,2,32100
1999224,601,17,0,4,1,11700
1999265,2006,26,0,4,2,43510
1999295,1500,6,0,1,2,12000
1999376,1300,6,0,6,3,16140
1999406,700,32,0,1,2,0
1999574,1402,20,0,4,2,87700
1999600,2200,26,0,1,6,19810
1999712,1804,0,2,1,  ,0
1999838,400,10,0,0,2,0
1999842,2200,17,0,5,2,50000
1999911,1003,26,0,5,2,61000
1999912,2009,20,0,2,2,53900
1999965,2004,32,0,5,3,14500
2000033,1201,26,0,2,1,26020
2000058,1002,26,0,3,7,24000
2000091,1003,26,0,2,9,59000
2000146,1804,15,0,1,2,189000
2000228,500,18,0,1,2,40610
2000316,2002,23,0,1,8,32000
2000577,602,21,0,4,2,101900
2000614,2003,26,0,4,2,176100
2000822,1004,21,0,4,2,56450
2001127,1300,5,0,2,2,10000
2001297,1805,33,0,0,7,0
2001460,2003,23,0,5,2,94500
2001495,1600,18,0,4,2,125000
2001520,901,8,0,1,2,4500
2001610,300,23,0,3,2,575000
2001643,1001,21,0,1,2,20600
2001764,1003,29,0,1,8,32100
2001785,1500,11,0,1,2,15600
2001877,1804,26,0,3,8,39700
2001901,700,6,0,1,1,22804
2001939,1803,29,0,1,8,21000
2002030,1100,14,0,5,2,16200
2002036,1300,23,0,1,9,44500
2002054,1404,20,0,4,9,41000
2002085,100,11,0,3,1,71000
2002398,1404,26,0,2,2,40000
2002455,1801,15,0,3,2,120000
2002644,2102,43,0,0,2,0
2002775,1300,6,0,1,6,45000
2002853,1300,5,0,5,2,21700
2002898,1402,9,0,4,2,60300
2003124,200,33,0,0,2,0
2003236,1900,10,0,0,3,0
2003314,602,0,1,1,  ,0
2003385,2002,12,0,2,2,36700
2003397,400,9,0,4,2,66400
2003505,1401,6,0,1,7,20000
2003564,400,18,0,3,1,41000
2003593,1001,0,2,1,  ,0
2003683,2002,26,0,2,2,617000
2003779,2002,29,0,2,8,50000
2003807,1401,23,0,1,4,56000
2003814,602,23,0,1,2,61000
2003855,300,5,0,1,1,25000
2003900,1005,26,0,2,2,73000
2003918,200,17,0,2,2,14600
2004096,1500,18,0,3,2,35700
2004307,1701,17,0,2,1,7100
2004407,1002,23,0,5,2,26670
2004560,1701,0,1,1,  ,0
2004645,602,29,0,4,2,45020
2004777,1900,17,0,2,2,127510
2004793,1701,0,2,1,  ,0
2004816,1500,15,0,4,1,55000
2004851,2005,20,0,4,2,86930
2004938,1100,5,0,1,2,14900
2004998,700,17,0,2,2,70590
2005018,1001,20,0,2,7,30000
2005103,2006,9,0,1,2,34200
2005204,1401,23,0,5,2,60300
2005272,1300,14,0,3,2,52150
2005283,800,15,0,6,2,44900
2005300,1801,24,0,2,2,58000
2005333,400,7,0,0,8,0
2005482,300,12,0,2,2,57000
2005505,1805,29,0,1,2,74000
2005520,400,32,0,1,2,32400
2005552,1404,8,0,4,2,42500
2005607,1401,21,0,1,8,13610
2005626,1100,23,0,3,7,0
2005823,1900,20,0,2,2,33500
2006217,2200,32,0,2,7,18604
2006293,2002,17,0,3,2,391200
2006329,1401,6,0,3,4,66020
2006457,1900,20,0,4,2,93590
2006651,1500,17,0,3,2,15600
2006674,300,16,0,0,2,0
2006702,1002,20,0,2,2,292800
2006710,1003,17,0,4,2,78400
2006934,400,6,0,0,2,0
2007041,1801,0,2,1,  ,0
2007046,2200,38,0,4,2,95500
2007117,2009,12,0,1,2,11900
2007297,1803,29,0,2,6,42700
2007335,2101,15,0,7,2,92000
2007441,1701,0,2,1,  ,0
2007583,1500,5,0,3,2,20000
2007601,400,6,0,4,2,79300
2007647,1801,17,0,2,2,70200
2007748,200,17,0,1,2,10800
2007806,200,20,0,0,2,0
2007875,1801,26,0,2,5,89280
2007894,1702,0,2,1,  ,0
2007990,1500,23,0,2,1,51300
2008060,800,29,0,2,2,336000
2008160,1803,23,0,1,5,35000
2008390,2003,29,0,4,2,80400
2008461,1702,17,0,4,2,41000
2008544,1805,35,0,3,2,108380
2008648,1500,3,0,0,2,0
2008706,1100,20,0,3,2,51000
2008851,2001,35,0,1,2,19100
2009122,1005,5,0,2,1,16700
2009436,2007,23,0,3,6,41400
2009602,1900,23,0,4,2,106000
2009616,901,6,0,2,1,64100
2009721,2006,21,0,2,2,61600
2009723,1803,0,1,1,  ,0
2009860,800,21,0,4,6,17000
2009882,200,17,0,2,2,92500
2009893,2008,17,0,3,2,28000
2009907,1202,26,0,1,9,146030
2009933,1404,43,0,0,2,0
2009953,1802,29,0,2,2,492600
2009991,1701,0,1,1,  ,0
2010024,1404,23,0,1,2,11200
2010066,500,11,0,3,2,41000
2010109,2004,26,0,2,2,103500
2010112,1600,23,0,2,2,138000
2010179,1600,0,2,1,  ,0
2010243,200,20,0,2,2,68300
2010438,2001,20,0,2,2,33900
2010449,2009,23,0,4,2,39800
2010484,2003,23,0,6,2,100000
2010533,601,24,0,3,2,34300
2010668,2200,17,0,2,3,50050
2010689,1805,24,0,1,2,12700
2010695,400,6,0,6,6,63200
2010736,1004,9,0,2,2,53720
2010828,901,21,0,6,2,2000
2011003,400,6,0,2,1,24200
2011058,2102,20,0,2,2,27600
2011083,2006,17,0,0,9,0
2011106,1701,17,0,2,6,26300
2011208,2002,26,0,3,2,100000
2011301,2002,0,2,1,  ,0
2011362,1701,3,0,6,2,60000
2011437,2001,23,0,2,2,62800
2011612,1001,20,0,2,2,116000
2011646,1801,11,0,2,2,115000
2011675,1804,18,0,1,8,58400
2011796,1002,24,0,1,2,22000
2011864,1802,23,0,1,2,70300
2011915,700,17,0,0,2,0
2012027,800,26,0,4,2,73200
2012035,2102,23,0,3,2,57600
2012038,1804,19,0,0,7,0
2012048,601,0,2,1,  ,0
2012075,1300,32,0,2,6,61500
2012156,300,6,0,2,1,68000
2012240,2006,23,0,4,2,50000
2012293,602,18,0,6,1,25800
2012650,1702,17,0,3,2,83000
2012788,2200,23,0,4,2,108600
2012867,100,29,0,1,2,12500
2012871,2004,20,0,6,2,74520
2012978,1701,6,0,2,2,23700
2013031,1402,9,0,4,2,277000
2013032,2002,24,0,5,2,161500
2013043,300,23,0,0,2,0
2013048,1001,0,2,1,  ,0
2013116,2005,11,0,4,2,56900
2013124,1002,29,0,2,2,92200
2013209,902,17,0,4,2,57000
2013226,2102,18,0,2,2,107800
2013234,1802,0,2,1,  ,0
2013335,1100,12,0,2,2,72200
2013356,1801,14,0,2,2,53500
2013413,700,17,0,2,2,39000
2013430,1600,23,0,0,2,0
2013456,1803,23,0,2,9,73000
2013757,1202,20,0,3,2,59200
2013865,800,21,0,3,5,75000
2013909,300,29,0,4,2,74290
2014034,2007,15,0,5,2,39300
2014039,700,6,0,4,2,50000
2014067,1004,26,0,3,2,93440
2014177,1701,23,0,1,1,0
2014270,1100,6,0,2,2,62500
2014328,1802,17,0,1,2,26300
2014362,1403,23,0,1,2,50000
2014410,700,0,2,1,  ,0
2014517,400,3,0,1,2,16600
2014742,2005,18,0,2,2,12380
2014830,1004,23,0,4,2,152200
2014838,2003,20,0,2,2,473000
2014902,1100,26,0,1,7,12000
2014965,1003,0,2,1,  ,0
2015273,500,0,1,1,  ,0
2015451,400,6,0,2,2,12100
2015452,1002,20,0,3,3,31000
2015526,1701,17,0,2,2,131800
2015603,500,26,0,2,4,32300
2015638,1202,20,0,2,2,51300
2015648,2009,28,0,3,2,148700
2015688,1202,29,0,1,1,27180
2015762,500,0,1,1,  ,0
2015811,100,21,0,3,2,13000
2015861,1202,14,0,2,2,44000
2015996,2200,17,0,1,4,9100
2016073,1804,23,0,5,6,26660
2016075,601,29,0,2,2,57300
2016106,400,6,0,2,1,25800
2016485,901,0,2,1,  ,0
2016557,1003,26,0,4,2,56200
2016922,1802,0,2,1,  ,0
2017006,2102,26,0,1,1,50800
2017319,500,17,0,0,6,0
2017397,1402,27,0,4,1,39000
2017472,1404,0,1,1,  ,0
2017477,1801,0,1,1,  ,0
2017503,1804,29,0,4,2,121000
2017576,200,5,0,1,1,15200
2017605,601,47,0,0,1,0
2017608,1500,9,0,1,1,24800
2017630,400,6,0,7,1,42870
2017653,2009,18,0,2,2,355300
2017680,1804,17,0,5,2,73000
2017706,1701,17,0,1,2,1900
2017891,400,23,0,2,2,53000
2017911,1201,11,0,4,2,71400
2017943,1801,17,0,3,2,30000
2017997,1001,23,0,1,8,8200
2018154,2102,26,0,4,2,100800
2018264,1404,26,0,6,2,60000
2018390,100,10,0,0,4,0
2018468,1403,26,0,1,1,20600
2018532,2002,9,0,1,2,297000
2018535,700,17,0,0,2,0
2018579,800,17,0,5,2,41700
2018598,1300,6,0,3,2,58000
2018626,1802,17,0,3,4,44300
2018660,1801,29,0,1,6,21500
2018737,1401,23,0,3,2,51000
2018832,500,21,0,1,9,15000
2018869,1803,0,1,1,  ,0
2019004,1001,23,0,0,2,0
2019026,601,20,0,3,2,38880
2019162,1004,26,0,2,2,88400
2019247,901,14,0,2,1,44200
2019400,1702,15,0,4,2,55550
2019432,1002,17,0,6,2,52000
2019458,1804,27,0,2,2,35700
2019594,1005,37,0,4,2,151000
2019610,2001,14,0,2,1,31990
2019620,500,26,0,2,2,37620
2019791,2102,20,0,3,2,56030
2019920,400,6,0,2,2,36200
2019928,1402,6,0,2,1,22000
2020171,1701,18,0,2,2,81800
2020224,1201,5,0,1,2,12300
2020320,800,26,0,2,1,28400
2020608,1702,23,0,1,2,28800
2020708,200,26,0,2,2,94000
2020785,800,14,0,4,2,69800
2020798,1803,26,0,1,2,120000
2020903,2200,27,0,2,2,86000
2020908,2008,17,0,1,7,6500
2021083,100,20,0,2,2,10300
2021108,2009,26,0,4,2,107000
2021128,2101,17,0,3,2,40000
2021179,1002,9,0,2,2,27300
2021189,1404,24,0,2,2,20500
2021403,500,20,0,4,2,20600
2021444,1003,23,0,4,2,62000
2021464,300,23,0,5,2,7200
2021576,1600,6,0,1,10,30000
2021624,800,26,0,3,5,21900
2021646,1805,26,0,2,3,15200
2021781,1802,23,0,1,8,80000
2021785,500,20,0,1,7,17620
2021880,602,6,0,2,2,7000
2022107,300,6,0,3,2,748000
2022178,300,5,0,2,2,106750
2022280,1403,26,0,1,2,51620
2022347,800,17,0,2,6,7000
2022803,601,6,0,2,2,32700
2022864,500,20,0,5,2,60000
2022953,1300,9,0,7,3,63700
2023094,1004,34,0,4,2,59500
2023215,602,23,0,4,9,23300
2023251,1100,20,0,4,2,62600
2023426,1600,29,0,2,2,152000
2023440,902,26,0,2,2,79600
2023497,1701,6,0,4,2,63000
2023566,1002,26,0,1,2,90000
2023570,2009,21,0,4,2,47000
2023659,1802,14,0,1,2,13000
2023672,100,20,0,1,2,79000
2023743,1004,20,0,0,8,0
2023780,1600,26,0,2,1,84600
2023795,2101,29,0,1,9,12000
2023839,1500,6,0,3,2,47000
2023876,1001,17,0,2,4,76000
2023910,400,5,0,1,2,25000
2024285,1803,23,0,1,7,29290
2024307,100,0,1,1,  ,0
2024310,1300,26,0,2,2,55000
2024438,2005,21,0,2,7,28000
2024564,2102,3,0,3,1,57500
2024675,2101,26,0,2,2,14200
2024785,2006,23,0,3,2,102440
2024865,800,18,0,1,2,80050
2024969,1402,15,0,3,2,95000
2024993,1002,26,0,1,5,17000
2024997,500,20,0,3,2,19000
2025174,601,14,0,2,2,93000
2025190,2102,26,0,6,2,56050
2025429,400,5,0,1,2,28400
2025495,200,6,0,1,2,34000
2025518,1100,23,0,1,2,35000
2025730,200,6,0,2,2,51400
2025815,1100,17,0,2,2,56600
2025916,1100,6,0,1,5,6900
2025936,1100,12,0,1,2,16300
2025943,1900,29,0,1,9,171200
2026017,1202,21,0,3,2,81000
2026037,700,23,0,1,9,10380
2026049,1300,20,0,1,2,32000
2026054,200,17,0,2,2,150700
2026058,2001,11,0,4,2,58700
2026160,100,80,0,0,1,0
2026205,602,23,0,1,2,24200
2026234,500,0,2,1,  ,0
2026239,1402,9,0,2,2,62500
2026254,1404,26,0,1,8,12000
2026281,2002,26,0,1,8,55000
2026282,800,43,0,0,6,0
2026310,601,29,0,1,2,19000
2026400,1802,0,2,1,  ,0
2026455,1004,0,2,1,  ,0
2026521,1600,12,0,5,7,12800
2026700,2001,20,0,1,2,30000
2026716,500,26,0,2,2,40400
2026850,1600,8,0,6,2,65500
2026890,700,15,0,6,2,66500
2027079,1600,18,0,4,2,38200
2027143,1600,12,0,2,2,108000
2027200,1402,17,0,6,2,42600
2027326,1002,20,0,7,2,68800
2027674,1702,20,0,4,2,56600
2027733,1702,0,2,1,  ,0
2027739,1701,24,0,5,3,14000
2027842,300,20,0,1,2,6000
2027913,2005,15,0,2,2,88000
2028004,1600,37,0,0,2,0
2028082,1702,23,0,4,2,45010
2028114,1401,9,0,1,10,8000
2028177,500,12,0,3,2,22400
2028263,1402,29,0,3,2,65000
2028403,1401,32,0,4,2,93000
2028480,2002,12,0,1,2,33300
2028498,1801,23,0,2,2,72000
2028500,2005,29,0,1,3,52130
2028585,1001,26,0,3,7,60000
2028633,1403,23,0,1,6,14000
2028636,2200,23,0,1,2,4500
2028665,200,26,0,2,2,2580
2028673,2002,23,0,5,2,230180
2028719,1100,0,2,1,  ,0
2028739,400,6,0,2,2,109000
2028753,400,20,0,4,3,32000
2028947,1300,18,0,2,2,63730
2028953,1702,21,0,3,2,62000
2028978,300,16,0,0,2,0
2029111,300,6,0,5,2,29700
2029129,500,23,0,2,1,18500
2029144,800,26,0,2,2,18500
2029367,1401,24,0,1,2,24500
2029530,1701,0,2,1,  ,0
2029726,1801,23,0,1,9,28710
2029768,1003,23,0,2,2,58700
2029793,800,23,0,2,4,53360
2029853,400,9,0,2,8,6000
2030029,800,17,0,2,2,25900
2030158,800,17,0,2,2,40300
2030213,901,17,0,2,2,67900
2030216,1701,6,0,3,1,89210
2030256,901,20,0,1,2,30
2030288,1004,23,0,5,2,70000
2030298,1401,20,0,1,2,35000
2030346,2005,0,1,1,  ,0
2030349,2004,17,0,4,2,54200
2030554,2008,29,0,3,2,60000
2030668,1804,17,0,2,2,173400
2030696,2200,23,0,3,6,31620
2030711,800,26,0,2,2,40100
2030722,1900,32,0,3,2,142590
2030757,200,32,0,2,2,37790
2030890,1701,6,0,1,2,12030
2031016,2004,20,0,4,2,341000
2031090,300,14,0,0,2,0
2031112,300,8,0,5,2,27780
2031180,500,20,0,4,2,36040
2031221,602,5,0,3,2,36000
2031313,2009,14,0,4,2,390000
2031321,2001,17,0,2,3,109800
2031361,300,3,0,3,2,45500
2031468,1801,20,0,2,2,31000
2031614,1402,26,0,2,9,2100
2031665,1403,18,0,2,8,26000
2031684,1300,18,0,2,2,15300
2031727,2008,12,0,2,2,55000
2031771,1701,0,1,1,  ,0
2031918,1803,26,0,2,9,200500
2031926,602,17,0,2,2,52000
2031995,901,35,0,4,1,15000
2032008,2008,26,0,2,2,70000
2032095,300,10,0,0,2,0
2032295,2006,17,0,3,2,60200
2032356,1300,20,0,0,5,0
2032399,1500,20,0,1,1,31500
2032477,1300,20,0,1,5,63980
2032512,2009,6,0,0,2,0
2032536,2005,15,0,4,2,104190
2032638,2102,18,0,2,2,37400
2032742,400,21,0,1,1,25090
2032806,1005,15,0,4,2,83170
2032870,2005,18,0,2,2,162500
2032884,300,21,0,1,2,98000
2032934,1005,29,0,2,2,80250
2032940,500,20,0,4,2,6200
2032974,700,20,0,3,2,10200
2033005,1202,29,0,2,2,23100
2033066,500,15,0,1,2,6000
2033102,601,14,0,4,2,50600
2033164,1804,20,0,3,8,119700
2033191,2004,29,0,1,2,34800
2033323,2101,14,0,5,1,42000
2033384,2002,26,0,2,2,111800
2033442,1803,32,0,1,7,16000
2033638,1500,12,0,1,2,6004
2033734,1100,23,0,2,2,84200
2033812,1001,15,0,2,2,48800
2033839,1001,23,0,3,2,66000
2033856,1202,26,0,2,3,49100
2033864,1500,10,0,0,4,0
2033923,1003,17,0,4,2,93100
2033928,1500,24,0,0,2,0
2034006,601,23,0,0,2,0
2034078,1300,15,0,3,2,132120
2034126,800,23,0,6,2,47810
2034162,1702,18,0,1,2,22000
2034234,2005,20,0,2,2,78000
2034281,500,40,0,0,2,0
2034308,700,6,0,1,1,32300
2034336,1201,23,0,2,1,18000
2034491,200,21,0,3,2,181500
2034650,1401,29,0,4,2,32750
2034653,1404,6,0,2,2,95000
2034699,1300,29,0,2,6,39140
2034735,1100,43,0,0,2,0
2034827,1500,8,0,4,2,31000
2034831,1500,17,0,1,2,9800
2034970,1003,23,0,2,2,80700
2034987,100,21,0,4,2,61200
2035150,601,26,0,5,2,58370
2035199,2007,26,0,2,7,64000
2035202,1403,20,0,2,1,48100
2035205,1403,0,1,1,  ,0
2035218,1402,26,0,2,2,77000
2035230,1500,20,0,1,2,9900
2035233,1100,6,0,5,2,15600
2035308,2200,17,0,4,2,82350
2035480,1805,12,0,2,2,62000
2035553,1201,0,2,1,  ,0
2035652,1500,0,2,1,  ,0
2035696,1300,5,0,2,2,54500
2035739,901,29,0,2,2,13100
2035777,1002,29,0,2,2,16000
2035789,1404,0,1,1,  ,0
2036056,2003,17,0,1,9,78500
2036070,200,6,0,2,1,25400
2036117,601,23,0,3,2,52000
2036230,1004,14,0,6,2,72000
2036251,1600,10,0,0,2,0
2036381,1500,20,0,3,2,26460
2036424,1402,32,0,1,2,0
2036453,1100,6,0,2,2,28800
2036496,1004,32,0,7,2,131300
2036539,1401,35,0,3,2,35400
2036565,300,10,0,0,2,0
2036657,2004,35,0,4,2,122000
2036787,1005,6,0,1,2,21600
2036806,1701,23,0,2,2,28480
2036828,1401,23,0,2,2,30200
2037032,1701,5,0,6,2,38300
2037044,1500,14,0,3,6,30240
2037057,500,23,0,1,9,5200
2037082,1600,11,0,2,2,40520
2037100,1803,26,0,2,9,362600
2037113,1404,0,1,1,  ,0
2037144,1100,5,0,1,2,68000
2037342,800,20,0,3,2,126000
2037494,1402,20,0,3,4,49000
2037520,100,6,0,1,2,25300
2037653,1201,6,0,4,1,74600
2037743,1701,6,0,2,2,76300
2037756,2101,63,0,0,2,0
2037802,2009,20,0,2,2,70500
2037806,602,23,0,3,2,111000
2037849,800,14,0,4,1,76400
2037905,2005,17,0,2,9,13100
2037990,1500,20,0,2,1,18400
2038022,1500,0,1,1,  ,0
2038073,1702,20,0,3,4,24300
2038138,1702,27,0,5,2,36800
2038210,2200,17,0,1,2,27700
2038345,800,26,0,2,2,82000
2038411,1803,23,0,1,8,31000
2038458,800,0,1,1,  ,0
2038630,400,6,0,1,2,12800
2038885,2102,35,0,3,6,27400
2039069,1600,9,0,3,1,20600
2039123,2005,14,0,2,2,50300
2039124,500,23,0,2,2,60420
2039243,601,17,0,3,2,31000
2039310,1001,20,0,2,2,92000
2039331,1202,20,0,2,2,46600
2039379,1002,20,0,2,2,130120
2039473,1100,14,0,2,1,14800
2039480,1201,29,0,2,4,55900
2039481,1300,23,0,4,2,39000
2039525,400,14,0,0,2,0
2039581,500,20,0,1,6,9980
2039602,500,27,0,0,7,0
2039733,800,23,0,1,2,80200
2039804,1401,24,0,1,1,31610
2039813,1802,29,0,2,2,20000
2039837,1001,24,0,2,2,64530
2039845,1403,20,0,3,7,16700
2039877,2008,26,0,4,7,22000
2039935,1804,18,0,2,4,97000
2040070,700,5,0,2,2,21500
2040091,1401,0,1,1,  ,0
2040104,1802,24,0,1,7,61000
2040125,2101,21,0,1,2,55000
2040312,1701,20,0,1,7,23530
2040527,1600,17,0,2,1,55000
2040551,1804,26,0,1,7,8000
2040607,1500,20,0,1,2,20200
2040616,1100,11,0,4,2,23900
2040665,300,17,0,3,2,105000
2040737,800,26,0,3,1,50500
2040806,1803,29,0,5,2,89010
2040882,200,5,0,3,2,21510
2040893,1803,32,0,1,9,29800
2040930,2001,20,0,3,2,137100
2041060,1100,23,0,4,2,55440
2041177,1804,21,0,3,3,129000
2041308,602,11,0,5,2,35280
2041371,2004,38,0,6,9,10300
2041415,1003,26,0,4,2,58500
2041438,1401,6,0,2,2,178750
2041474,1701,20,0,0,2,0
2041511,1701,15,0,5,2,50000
2041543,1005,20,0,5,2,41200
2041568,2007,17,0,4,5,11000
2041721,2102,3,0,4,4,26700
2041792,2009,17,0,2,2,192000
2041950,800,18,0,3,2,72550
2042075,1100,11,0,2,2,89000
2042095,2004,15,0,6,2,67500
2042223,1001,20,0,1,2,14400
2042271,1300,13,0,0,6,0
2042313,300,3,0,2,2,48000
2042320,2003,23,0,2,2,51000
2042352,602,29,0,1,9,31300
2042474,2009,32,0,5,2,77830
2042496,2001,30,0,0,2,0
2042581,601,20,0,0,1,0
2042634,100,12,0,4,7,9500
2042706,500,17,0,2,2,25900
2042861,2008,15,0,4,2,78100
2042980,700,0,2,1,  ,0
2043000,1300,23,0,2,2,42400
2043031,2005,17,0,2,2,40900
2043070,2006,26,0,3,2,74000
2043163,100,26,0,4,2,28700
2043188,1801,20,0,1,8,18900
2043222,1300,17,0,5,2,30530
2043226,400,9,0,2,2,46900
2043260,2006,0,2,1,  ,0
2043589,1702,17,0,4,8,45050
2043626,1100,20,0,3,1,28000
2043676,800,23,0,2,2,5300
2043813,2001,20,0,3,2,80430
2043842,1801,20,0,1,2,45900
2043886,1003,26,0,2,3,18600
2044111,2102,18,0,1,2,21700
2044179,1002,0,2,1,  ,0
2044184,1300,0,1,1,  ,0
2044191,1002,20,0,2,2,209000
2044405,1100,15,0,4,2,55200
2044436,500,18,0,2,2,45500
2044566,1300,5,0,3,3,17000
2044628,500,20,0,4,2,57800
2044693,500,31,0,3,9,28004
2044709,1701,29,0,3,2,89700
2044831,1300,26,0,1,8,14000
2044923,1805,15,0,5,2,99300
2044995,1202,26,0,2,2,21400
2045199,2006,23,0,1,9,12400
2045219,100,23,0,1,4,36000
2045292,2002,18,0,3,2,115400
2045329,602,17,0,1,2,31400
2045382,602,9,0,6,2,112000
2045445,200,20,0,1,2,30800
2045479,1002,20,0,1,2,26700
2045512,1900,20,0,1,2,52800
2045609,800,14,0,2,1,21600
2045619,2001,17,0,2,2,47900
2045664,2200,17,0,2,4,60400
2045675,1803,20,0,1,7,34000
2045715,500,20,0,0,4,0
2045726,300,26,0,1,8,12000
2045846,1500,17,0,2,2,10030
2045881,1500,6,0,3,1,45000
2045986,1702,26,0,1,2,31570
2046310,300,17,0,2,1,44000
2046368,1300,20,0,3,5,10500
2046531,2007,17,0,1,2,62000
2046738,100,26,0,1,9,5400
2047120,1201,20,0,2,2,94000
2047165,2002,0,2,1,  ,0
2047195,1600,17,0,2,1,45040
2047222,2200,17,0,2,2,7500
2047295,1300,20,0,4,2,82000
2047349,602,13,0,0,9,0
2047360,1701,9,0,2,1,25000
2047374,1805,38,0,7,2,118000
2047459,2102,26,0,3,2,23900
2047524,100,26,0,2,2,55000
2047558,901,15,0,2,2,31130
2047701,800,23,0,2,2,68400
2047781,1402,14,0,1,2,37200
2047887,2200,14,0,2,3,65500
2047906,2009,6,0,1,2,18800
2047923,1300,20,0,3,2,72140
2047957,100,41,0,3,2,83570
2048017,1402,23,0,2,2,68500
2048060,2005,18,0,2,2,138700
2048234,2002,32,0,1,9,23000
2048439,1803,17,0,2,7,115000
2048624,1600,33,0,0,2,0
2048685,2004,26,0,2,2,1960
2048700,602,20,0,4,2,97800
2048767,1005,9,0,4,5,24000
2048804,601,20,0,5,2,95000
2049098,1600,26,0,5,1,16000
2049125,1202,20,0,6,2,64100
2049231,200,26,0,2,2,50360
2049289,2005,15,0,5,2,40190
2049322,902,14,0,3,2,36000
2049339,200,30,0,0,2,0
2049342,1202,23,0,4,2,51380
2049343,2006,34,0,3,2,102000
2049368,700,10,0,0,10,0
2049447,901,17,0,1,1,27500
2049474,602,20,0,4,2,36000
2049621,1004,21,0,1,8,9000
2049721,700,0,2,1,  ,0
2049919,400,6,0,3,2,10800
2049978,1005,24,0,2,2,31000
2050022,1002,23,0,3,2,159000
2050185,1500,5,0,2,1,19800
2050245,1803,32,0,1,7,36900
2050476,1001,23,0,1,2,48600
2050505,1404,0,2,1,  ,0
2050509,1805,20,0,4,2,15000
2050536,2003,23,0,4,2,150500
2050609,1402,11,0,4,2,83040
2050633,400,10,0,0,2,0
2050636,1002,6,0,4,2,336330
2050832,1404,6,0,1,2,16800
2050872,1402,26,0,2,2,137000
2050920,500,52,0,2,8,17500
2051028,2001,23,0,2,2,30600
2051048,2004,20,0,4,2,40000
2051073,200,23,0,2,2,198650
2051132,1803,15,0,2,7,103000
2051170,1300,6,0,1,3,6520
2051175,1005,6,0,5,2,32200
2051341,2002,29,0,1,7,75000
2051592,2004,29,0,2,3,55000
2051718,1805,17,0,4,2,66000
2052090,2007,21,0,3,9,23000
2052106,200,18,0,2,2,187600
2052133,300,47,0,0,2,0
2052255,2006,26,0,2,1,58200
2052286,1900,23,0,4,7,34000
2052323,500,12,0,2,2,24200
2052350,2005,20,0,2,3,75000
2052479,1202,17,0,0,9,0
2052500,2101,17,0,2,2,82600
2052591,300,20,0,2,5,46000
2052606,500,0,2,1,  ,0
2052646,1802,23,0,2,2,94000
2052824,1804,26,0,1,4,53000
2052842,1600,23,0,5,2,62500
2052937,1300,23,0,2,9,3500
2052968,300,14,0,1,2,23700
2052974,2101,21,0,3,6,14600
2053116,2200,26,0,2,9,20000
2053237,500,31,0,2,8,17500
2053408,500,16,0,0,8,0
