Geo,Year,OwnedVehAccessTime,HighCarSvcAccessTime,LowCarSvcAccessTime,ShdCarSvcAccessTime ,UnShdCarSvcAccessTime 
RVMPO,2010,5,10,45,10,5
RVMPO,2038,5,10,45,10,5
