Year,RunTimeUtilityAdj,AccessTimeUtilityAdj,PropRemoteAccess,RemoteAccessDvmtAdj,PropParkingFeeAvoid
2010,1,1,0,1,0
2038,0.85,0.85,0.18,1.36,0.18
