Geo,Year,HighCarSvcCost.2010,LowCarSvcCost.2010,ShdCarSvcCost.2010,UnShdCarSvcCost.2010,AveCarSvcVehicleAge,LtTrkCarSvcSubProp,AutoCarSvcSubProp,LowCarSvcDeadheadProp,HighCarSvcDeadheadProp,ShdCarSvcDeadheadFactor,UnShdCarSvcDeadheadFactor
RVMPO,2010,1,3,1,3,3,0.75,1,0,0,1,1
RVMPO,2038,1,3,1,3,2,0.75,1,0.2,0.4,0.9,1.1
