Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
1,2035,32435,13215,18225,62319,26596,39656
2,2035,13874,4900,9837,25708,11715,21447
3,2035,18637,7811,10735,32472,12617,19081
4,2035,20600,7518,10673,35212,17029,28586
5,2035,4707,1339,1730,10914,4357,5852
6,2035,13952,3956,13597,32086,15252,20185
7,2035,13549,2778,12514,30279,9097,11085
8,2035,5049,1349,26389,34117,11822,17143
9,2035,20590,5941,16996,48510,14277,19096
10,2035,29401,8860,34392,78179,22492,33414
11,2035,33603,10604,24426,53806,18148,35362
12,2035,21116,8344,15741,34670,12434,19093
13,2035,3430,1532,2010,6435,3234,4264
14,2035,14855,5332,6621,28662,12228,17957
15,2035,50161,14576,34660,76328,22686,32257
16,2035,45037,13808,29389,80749,25103,38879
17,2035,34017,12002,22213,65257,20899,36274
18,2035,18023,6258,10937,33329,13279,21863
19,2035,19957,6493,14744,33715,12523,23491
20,2035,73443,25146,36612,111080,40931,60381
1,2040,33082,13507,18500,63856,27491,43287
2,2040,13730,4859,9688,25559,11750,22716
3,2040,19841,8333,11374,34730,13613,21740
4,2040,20869,7632,10760,35836,17483,30993
5,2040,4872,1388,1782,11346,4569,6482
6,2040,14591,4146,14152,33711,16165,22591
7,2040,14224,2922,13073,31931,9678,12453
8,2040,5412,1449,28151,36738,12843,19665
9,2040,21193,6128,17410,50161,14893,21036
10,2040,30596,9240,35620,81734,23722,37215
11,2040,34115,10788,24679,54877,18672,38421
12,2040,21429,8486,15898,35346,12788,20736
13,2040,3542,1585,2065,6674,3383,4711
14,2040,16468,5924,7305,31922,13738,21306
15,2040,52129,15180,35847,79689,23893,35876
16,2040,45637,14021,29638,82202,25780,42163
17,2040,35256,12466,22912,67946,21952,40235
18,2040,18744,6522,11320,34823,13996,24335
19,2040,19917,6494,14644,33803,12666,25090
20,2040,75576,25931,37495,114834,42686,66497
1,2045,33289,13616,18561,64628,28062,46720
2,2045,13555,4806,9536,25378,11767,24054
3,2045,20638,8683,11795,36333,14363,24255
4,2045,20785,7615,10686,35900,17664,33111
5,2045,4922,1405,1795,11530,4683,7024
6,2045,14861,4230,14371,34533,16702,24680
7,2045,14548,2994,13332,32848,10041,13662
8,2045,5612,1505,29107,38320,13511,21875
9,2045,21359,6187,17493,50845,15226,22740
10,2045,31058,9397,36050,83447,24427,40519
11,2045,34122,10810,24612,55208,18946,41220
12,2045,21562,8554,15949,35771,13053,22380
13,2045,3576,1604,2079,6777,3465,5102
14,2045,17875,6441,7905,34849,15127,24805
15,2045,53451,15594,36647,82182,24852,39457
16,2045,45689,14063,29584,82771,26181,45276
17,2045,36023,12760,23341,69827,22753,44097
18,2045,19301,6728,11622,36064,14619,26877
19,2045,19784,6462,14503,33771,12763,26732
20,2045,76841,26413,38009,117432,44026,72519
1,2050,33348,13664,18533,65107,28510,50281
2,2050,13315,4729,9337,25071,11723,25385
3,2050,21418,9027,12201,37918,15117,27041
4,2050,20600,7560,10556,35780,17754,35254
5,2050,4960,1419,1803,11685,4787,7605
6,2050,15062,4294,14518,35197,17167,26873
7,2050,14783,3048,13503,33566,10348,14914
8,2050,5839,1569,30187,40096,14257,24451
9,2050,21425,6217,17490,51290,15489,24505
10,2050,31391,9514,36317,84815,25038,43996
11,2050,33913,10762,24380,55177,19095,44011
12,2050,21608,8588,15931,36049,13266,24094
13,2050,3604,1619,2089,6870,3543,5525
14,2050,19433,7015,8566,38101,16679,28972
15,2050,54634,15966,37336,84474,25761,43327
16,2050,45486,14025,29356,82867,26434,48423
17,2050,36747,13039,23733,71631,23539,48325
18,2050,19806,6916,11887,37216,15214,29630
19,2050,19564,6402,14295,33583,12799,28399
20,2050,77850,26807,38383,119644,45236,78931
