Geo,LdvFwyDvmtProp,LdvArtDvmtProp,LdvOthDvmtProp,HvyTrkFwyDvmtProp,HvyTrkArtDvmtProp,HvyTrkOthDvmtProp,BusFwyDvmtProp,BusArtDvmtProp,BusOthDvmtProp
Metro,0.3774,0.3999,0.2227,0.452028198,0.398645294,0.149326508,0.027,0.649,0.324
None,0.3774,0.3999,0.2227,0.452028198,0.398645294,0.149326508,0.027,0.649,0.324
